id,name
1,Acute Coronary Syndrome (एक्युट कोरोनरी सिन्ड्रोम)
2,Acute Respiratory Infection (ARI) (सानो श्वासप्रश्वासको संक्रमण)
3,Alzheimer's Disease (अल्जाइमर रोग)
4,Anemia (रक्तअल्पता)
5,Anxiety (चिन्ता)
6,Aortic Aneurysm (महाधमनी एन्युरिज्म)
7,Arrhythmia (अनियमित हृदयघडी)
8,Asthma (दम)
9,Back Pain (कम्मर दुखाइ)
10,Benign Prostatic Hyperplasia (BPH) (प्रोस्टेट बढी)
11,Bipolar Disorder (बाइपोलर डिसअर्डर)
12,Brain Tumors (मस्तिष्कको ट्युमर)
13,Breast Cancer (स्तन क्यान्सर)
14,Bronchiectasis (ब्रोन्किएक्टेसिस)
15,Bronchiolitis (ब्रोन्कियोलाइटिस)
16,Burns (पोल्ने)
17,Cancer (क्यान्सर)
18,Cardiomyopathy (हृदयमांसपेशीको रोग)
19,Cataracts (मोतियाबिंद)
20,Cervical Cancer (गर्भाशयको क्यान्सर)
21,Childhood Cancers (बाल्यकालीन क्यान्सर)
22,Cholera (हैजा)
23,Chronic Kidney Disease (CKD) (क्रोनिक किडनी रोग)
24,Chronic Obstructive Pulmonary Disease (COPD) (क्रोनिक अब्स्ट्रक्टिभ पल्मोनरी डिजिज)
25,Chronic Pancreatitis (क्रोनिक प्यान्क्रियाटाइटिस)
26,Cirrhosis (कलेजो सिरोसिस)
27,Colorectal Cancer (आन्द्रा र मलाशयको क्यान्सर)
28,Community-Acquired Pneumonia (सामुदायिक निमोनिया)
29,Compartment Syndrome (कम्पार्टमेन्ट सिन्ड्रोम)
30,Congenital Heart Defects (जन्मजात हृदय दोष)
31,Conjunctivitis (आँखा आउने)
32,Corneal Ulcers & Scars (कर्नियल अल्सर)
33,Coronary Artery Disease (करोनरी धमनी रोग)
34,Crush Injuries (क्रश चोट)
35,Deep Vein Thrombosis (DVT) (गहिरो शिरा थ्रोम्बोसिस)
36,Dementia (डिमेन्सिया)
37,Dengue (डेंगु)
38,Depression (डिप्रेसन)
39,Diabetes/Type 2 Diabetes (मधुमेह)
40,Diabetic Nephropathy (मधुमेह नेफ्रोपैथी)
41,Diabetic Retinopathy (मधुमेह रेटिनोपैथी)
42,Diarrhea (पखाला)
43,Ear infections (कानको संक्रमण)
44,Ectopic Pregnancy (एक्टोपिक प्रेगनेन्सी)
45,End-Stage Renal Disease (ESRD) (किडनी फेल)
46,Endometriosis (एन्डोमेट्रियोसिस)
47,Epilepsy (मिर्गौला)
48,Fibroids (गर्भाशयमा ढिकी)
49,Food-borne infections (खानाबाट हुने संक्रमण)
50,Frostbite (हिउँदो चोट)
51,Fungal Infections (कवक संक्रमण)
52,Gallstones (पित्तघट्टा)
53,Gastroesophageal Reflux Disease (GERD) (ग्यास्ट्रोइसोफेगल रिफ्लक्स रोग)
54,Gestational Diabetes (गर्भावस्थाको मधुमेह)
55,Glaucoma (काला पानी)
56,Gout (गाउट)
57,Head & Neck Cancer (टाउको र घाँटीको क्यान्सर)
58,Head Injuries (टाउकोको चोट)
59,Headaches (टाउको दुखाइ)
60,Heart Disease (हृदय रोग)
61,Heart Failure (हृदय फेल)
62,Hepatitis (हेपाटाइटिस)
63,High Altitude Sickness (अग्लो स्थानको रोग)
64,High-Risk Pregnancies (उच्च जोखिम गर्भावस्था)
65,HIV/AIDS (एचआईभी/एड्स)
66,Hypertension/High Blood Pressure (उच्च रक्तचाप)
67,Inflammatory Bowel Disease (IBD) (इन्फ्लामेटरी बोवेल डिजिज)
68,Iron Deficiency Anemia (फलामको कमी)
69,Irritable Bowel Syndrome (IBS) (इर्रिटेबल बोवेल सिन्ड्रोम)
