"id","name"
1,Achham
2,Arghakhanchi
3,Baglung
4,Baitadi
5,Bajhang
6,Bajura
7,Banke
8,Bara
9,Bardiya
10,Bhaktapur
11,Bhojpur
12,Chitwan
13,Dadeldhura
14,Dailekh
15,Dang
16,Darchula
17,Dhading
18,Dhankuta
19,Dhanusha
20,Dholkha
21,Dolpa
22,Doti
23,Gorkha
24,Gulmi
25,Humla
26,Ilam
27,Jajarkot
28,Jhapa
29,Jumla
30,Kailali
31,Kalikot
32,Kanchanpur
33,Kapilvastu
34,Kaski
35,Kathmandu
36,Kavrepalanchok
37,Khotang
38,Lalitpur
39,Lamjung
40,Mahottari
41,Makwanpur
42,Manang
43,Morang
44,Mugu
45,Mustang
46,Myagdi
47,Nawalparasi (East of Bardaghat Susta)
48,Nawalparasi (West of Bardaghat Susta)
49,Nuwakot
50,Okhaldhunga
51,Palpa
52,Panchthar
53,Parbat
54,Parsa
55,Pyuthan
56,Ramechhap
57,Rasuwa
58,Rautahat
59,Rolpa
60,Rukum (East)
61,Rukum (West)
62,Rupandehi
63,Salyan
64,Sankhuwasabha
65,Saptari
66,Sarlahi
67,Sindhuli
68,Sindhupalchok
69,Siraha
70,Solukhumbu
71,Sunsari
72,Surkhet
73,Syangja
74,Tanahu
75,Taplejung
76,Terhathum
77,Udayapur
