id,name,location,latitude,longitude,phone,description,images,website
1,Bir Hospital,Kathmandu,27.7051958,85.313784,,,BirHospital.jpg,
2,T.U. Teaching Hospital,Kathmandu,27.7359459,85.3310189,,,TUTeachingHospital.jpg,
3,Patan Academy of Health Sciences,Lalitpur,27.6812802,85.3055966,,,PatanHospital.jpg,
4,Kanti Children's Hospital,Kathmandu,27.7346864,85.3258972,,,KantiChildrensHospital.jpg,
5,Tilganga Institute of Ophthalmology,Kathmandu,27.7056677,85.347965,,,TilgangaEyeHospital.jpg,
6,Manmohan Cardiothoracic Vascular and Transplant Center,Kathmandu,27.7358337,85.3261908,,,Manmohan-Cardiothoracic-Vascular-and-Transplant-Center.jpg,
7,Nepal Mediciti Hospital,Lalitpur,27.6623271,85.3026856,,,Nepal-Mediciti-Hospital.jpg,
8,Grande International Hospital,Kathmandu,27.7529441,85.3253103,,,GrandeHospital.jpg,
9,Norvic International Hospital,Kathmandu,27.6893068,85.3200625,,,norvic-international-hospital.jpg,
10,Om Hospital & Research Centre Pvt. Ltd.,Kathmandu,27.721425,85.3422295,,,Om-Hospital-and-Research-Center.jpg,
11,Civil Service Hospital,Kathmandu,27.6864368,85.3389249,,,CivilHospital.jpg,
12,Bhaktapur Cancer Hospital,Bhaktapur,27.6731786,85.4197464,,,BhaktapurCancerHospital.jpg,
13,Bhaktapur Hospital,Bhaktapur,27.6720774,85.4220862,,,Bhaktapur-Hospital.jpg,
14,B.P. Koirala Institute of Health Sciences,Sunsari,26.8122466,87.265786,,,BPHospital.jpg,
15,Koshi Hospital,Morang,26.4592298,87.2839331,,,Koshi-Hospital.jpg,
16,Medanta ortho and neuro care centre,Lalitpur,27.6878172,85.3139626,,,Medanta-ortho-and-neuro.jpg,
17,Star Hospital,Lalitpur,27.6811723,85.302764,,,star-hospital.png,
18,Alka Hospital,Lalitpur,27.6741922,85.3151018,,,AlkaHospital.jpg,
19,Paropakar Maternity & Women's Hospital,Kathmandu,27.6894622,85.3152635,,,"Paropakar_Maternity_and_Women,s_Hospital.jpg",
20,Chitwan Medical College (CMC),Chitwan,27.6852962,84.4304187,,,CMCHospital.jpg,
21,Bharatpur Hospital,Chitwan,27.6818245,84.4364771,,,bharatpur_hospital.jpg,
22,College Of Medical Sciences (CMS),Chitwan,27.6836399,84.4360595,,,CMS.jpg,
23,B.P. Koirala Memorial Cancer Hospital,Chitwan,27.664926,84.4176559,,,BP-Koirala-Memorial-Cancer-Hospital.jpg,
24,Shahid Dharmabhakta National Transplant Center,Bhaktapur,27.6726644,85.4194517,,,Shahid-Dharmabhakta.jpg,
25,National Trauma Center,Kathmandu,27.7043028,85.3130677,,,national-trauma-center.jpg,
26,Gangalal Heart Centre,Kathmandu,27.7458286,85.3437156,,,Shahid_Gangalal_Heart.jpg,
27,Western Regional Hospital,Kaski,28.2127095,83.9983555,,,Western-Regional-Hospital.jpg,
28,Gandaki Medical College,Kaski,28.2111235,83.9870112,,,gandaki-medical-college.jpg,
